한글발음,한자,획수,자원오행,뜻,발음오행
가,加,5,水,"더할, 있을",木
가,佳,8,火,"아름다울, 좋을",木
가,架,9,木,"시렁, 세울",木
가,可,5,水,"옳을, 좋을",木
가,哿,10,水,"좋을,훌륭하다",木
가,家,10,木,"집,건물",木
가,嘉,14,水,"아름답다,훌륭하다",木
가,街,12,火,"거리,대로,시가지",木
가,暇,13,火,겨르다.틈,木
가,賈,13,金,"값,장사,상인",木
가,稼,15,木,"농사, 심을",木
가,珂,10,金,옥이름,木
가,茄,11,木,"연줄기,연(蓮)",木
가,哥,10,水,"노래, 노랫소리",木
가,跏,12,土,책상다리할,木
가,袈,11,木,"가사, 승려의 옷",木
가,軻,12,火,굴대,木
가,枷,9,木,도리깨,木
가,歌,14,金,"노래, 읊을",木
가,價,15,火,"姓,값,가치",木
가,嘏,14,水,클,木
가,舸,11,木,큰 배,木
가,泇,9,水,물이름,木
가,珈,10,金,머리꾸미개,木
가,柯,9,木,"가지, 자루",木
가,檟,17,木,개오동나무,木
가,榎,14,木,개오동나무,木
가,笳,11,木,갈잎피리,木
가,假,11,火,"거짓, 임시",木
가,嫁,13,土,"시집갈, 떠넘길",木
가,駕,15,火,"멍에, 수레",木
가,迦,12,土,"부처이름, 막을",木
가,伽,7,火,절,木
가,呵,8,水,"꾸짖을, 웃을",木
가,痂,10,水,"헌데딱지, 옴",木
가,苛,11,木,"매울, 사나울",木
가,訶,12,金,"꾸짖을, 야단할",木
가,坷,8,土,평탄하지 않을,木
가,斝,12,火,술잔,木
가,耞,11,木,도리깨,木
가,葭,15,木,갈대,木
가,謌,17,金,노래,木
각,各,6,水,"각각, 시각",木
각,角,7,木,"뿔, 견줄",木
각,閣,14,木,"문설주, 세울",木
각,覺,20,火,"깨달음, 터득할",木
각,刻,8,金,"새길,벗길",木
각,珏,10,金,쌍옥,木
각,恪,10,火,"삼갈,정성,공경",木
각,慤,16,火,성실할,木
각,擱,18,木,놓을,木
각,桷,11,木,서까래,木
각,殼,12,金,"껍질, 씨",木
각,脚,13,水,"다리, 정강이",木
각,却,7,木,"물리칠,그칠",木
각,卻,9,木,물리칠,木
각,咯,9,水,"울, 트림",木
각,埆,10,土,매마를,木
각,搉,14,木,두드릴,木
간,間,12,木,"사이, 가까울",木
간,看,9,木,"볼, 지킬",木
간,刊,5,金,"책펴낼, 깎을",木
간,幹,13,木,"줄기, 몸",木
간,磵,17,金,산골물,木
간,稈,12,木,"집, 볏짚",木
간,偘,11,火,굳셀,木
간,茛,12,木,"미나리아재비,독초",木
간,衎,9,火,즐길 ,木
간,赶,10,火,쫓을,木
간,齦,21,金,깨물,木
간,忓,7,火,방해할,木
간,姦,9,土,"간사할, 거짓",木
간,奸,6,土,"범할, 간통할",木
간,艱,17,土,"어려울, 괴로워할",木
간,癎,17,水,"간기(간질), 경풍",木
간,干,3,木,"姓,방패, 방어할",木
간,肝,9,水,"간, 충정",木
간,簡,18,木,"글, 편지",木
간,侃,8,火,"강직할, 화락할",木
간,杆,7,木,"지레, 나무이름",木
간,竿,9,木,"장대, 죽순",木
간,揀,13,木,"가려냉, 구별할",木
간,諫,16,金,"고칠, 충고할",木
간,玕,8,金,"옥돌, 아름다운 돌",木
간,慳,15,火,아낄,木
간,榦,14,木,줄기,木
간,秆,8,木,볏짚,木
간,迀,10,土,구할,木
간,矸,8,金,산돌,木
간,栞,10,木,"깎을, 도표",木
간,澗,16,水,"산골물,계곡물",木
간,懇,17,火,"정성, 간절할",木
간,艮,6,土,"괘이름, 그칠",木
간,墾,16,土,"개간할, 다스릴",木
간,柬,9,木,"가릴, 분간",木
간,桿,11,木,볏짚,木
갈,鞨,18,金,"가죽신, 두건",木
갈,葛,15,木,"姓,칡,넝쿨",木
갈,乫,6,木,땅이름,木
갈,碣,14,金,"비, 돌을 세울",木
갈,竭,14,金,"다할, 물마를",木
갈,褐,15,木,"털옷, 베옷",木
갈,蝎,15,木,"나무좀,나무굼벵이",木
갈,喝,16,水,맹세할,木
갈,楬,13,木,푯말,木
갈,秸,11,木,짚,木
갈,羯,15,土,불깐 양,木
갈,蠍,19,水,전갈,木
갈,渴,13,水,"목마를, 급할",木
갈,曷,9,火,"어찌, 언제",木
갈,喝,12,水,더위 먹을,木
감,邯,12,土,"땅이름, 강이름",木
감,淦,12,水,물 이름,木
감,澉,16,水,싱거울,木
감,酣,12,金,흥겨울,木
감,鹻,21,水,소금기,木
감,龕,22,土,감실,木
감,弇,9,木,사람이름,木
감,憨,16,火,어리석을,木
감,撼,17,木,흔들,木
감,歛,17,火,"줄,바라다,원하다",木
감,泔,9,水,뜨물,木
감,矙,25,木,엿볼,木
감,轗,20,火,가기 힘들,木
감,憾,17,火,"한할, 서운해 할",木
감,歁,13,金,"칠, 평정할",木
감,坎,7,土,"구덩이, 험할",木
감,疳,10,水,"감질, 감병",木
감,坩,8,土,도가니,木
감,埳,11,土,구덩이,木
감,嵁,12,土,울퉁불퉁할,木
감,欿,12,火,서운할,木
감,感,13,火,"느끼, 감동할",木
감,敢,12,金,"굳셀, 용감할",木
감,鑑,22,金,"姓,거울,성찰할",木
감,鑒,22,金,"거울, 성찰할",木
감,甘,5,土,"姓,달,상쾌할",木
감,玪,9,金,옥 이름,木
감,減,13,水,"덜, 줄일",木
감,監,14,金,"볼, 보살필",木
감,勘,11,土,"헤아릴, 조사할",木
감,堪,12,土,"견딜, 뛰어날",木
감,瞰,17,木,"내려다볼, 멀리볼",木
감,嵌,12,土,산이 깊을,木
감,柑,9,木,"감자나무, 재갈",木
감,橄,16,木,감람나무,木
감,紺,11,木,"감색, 밤물",木
갑,甲,5,木,"첫째 천간, 껍질",木
갑,鉀,13,金,갑옷,木
갑,岬,8,土,"산허리,산골짜기",木
갑,閘,13,木,"물문,수문",木
갑,匣,7,木,작은상자,木
갑,胛,11,水,"어깨, 어깻죽지",木
강,玒,8,金,옥 이름,木
강,鏹,20,金,"돈, 돈꿰미",木
강,堈,11,土,"언덕, 항아리",木
강,橿,17,木,"나무이름, 굳센 모양",木
강,彊,16,金,"굳셀, 힘셀 활",木
강,糠,17,木,"겨, 쌀겨",木
강,絳,12,木,진홍색,木
강,羌,8,土,"종족이름, 굳셀",木
강,悾,12,火,정성,木
강,岡,8,土,"산등성이, 언덕",木
강,崗,11,土,산등성이,木
강,降,14,土,"내릴,(항)항복할",木
강,畺,13,土,지경,木
강,疆,19,土,"지경, 끝",木
강,傋,12,火,어리석을,木
강,壃,16,土,지경,木
강,忼,8,火,강개할,木
강,扛,7,木,마주 들,木
강,殭,17,水,굳어질,木
강,矼,8,金,징검다리,木
강,江,7,水,"姓,강,큰내",木
강,講,17,金,"강론할, 익힐",木
강,强,12,金,굳셀,木
강,強,11,金,"姓,굳셀,강할",木
강,康,11,木,"평안할, 즐거울",木
강,姜,9,土,"姓,굳셀",木
강,剛,10,金,"姓,굳셀,강철",木
강,鋼,16,金,"강철, 강쇠",木
강,嫝,14,土,편안할,木
강,鎠,18,金,강철,木
강,跭,13,土,"세울, 머뭇거릴",木
강,綱,14,木,"벼리, 법",木
강,杠,7,木,"깃대, 다리",木
강,茳,11,木,천궁모종,木
강,顜,19,火,밝을,木
강,穅,16,木,겨,木
강,繈,17,木,포대기,木
강,罡,11,木,북두성,木
강,羫,14,土,양 갈빗대,木
강,豇,10,木,광저기,木
강,韁,22,金,고삐,木
강,舡,9,木,배,木
강,薑,19,木,생강,木
강,襁,18,木,포대기,木
강,鱇,22,水,아귀,木
강,慷,15,火,"강개할, 슬퍼할",木
강,腔,14,水,속이 빌,木
강,僵,15,火,넘어질,木
개,凱,12,木,"즐길, 함성",木
개,愷,14,火,"즐거울, 편안할",木
개,剴,12,金,알맞을,木
개,匃,5,金,빌,木
개,揩,13,木,닦을,木
개,槩,15,木,평미레,木
개,漑,15,水,"물댈, 씻을",木
개,塏,13,土,높고 건조할,木
개,鎧,18,金,"갑옷, 무장할",木
개,慨,15,火,"분개할, 슬퍼할",木
개,蓋,16,木,"덮을, 대개",木
개,盖,11,水,덮을,木
개,愾,14,火,"성낼, 가득할",木
개,疥,9,水,"옴, 학질",木
개,芥,10,木,"티끌, 먼지",木
개,槪,15,木,"대개, 대강",木
개,磕,15,金,돌 부딪치는 소리,木
개,闓,18,木,열,木
개,豈,10,水,"어찌, 개가",木
개,改,7,金,고치다. 바꿀,木
개,皆,9,火,"다, 함께",木
개,個,10,火,"낱, 단위",木
개,箇,14,木,"낱, 단위",木
개,開,12,木,"열, 개척할",木
개,价,6,火,"착할, 클",木
개,介,4,火,"姓,끼일,갑옷",木
개,玠,9,金,큰 홀,木
객,客,9,木,"손님, 나그네",木
객,喀,12,水,토할,木
갱,粳,13,木,메벼,木
갱,羹,19,土,"국, 땅이름",木
갱,硜,12,金,돌소리,木
갱,賡,15,金,이을,木
갱,鏗,19,金,금옥 소리,木
갱,更,7,火,"다시, 고칠",木
갱,坑,7,土,"구덩이, 빠질",木
갹,醵,20,金,"술잔치, 추렴할",木
거,㫢,9,火,거,木
거,秬,10,木,검은 기장,木
거,筥,13,木,둥구미,木
거,籧,23,木,대자리,木
거,胠,11,水,겨드랑이,木
거,苣,11,木,상추,木
거,莒,13,木,감자,木
거,蕖,18,木,연꽃,木
거,蘧,23,木,패랭이꽃,木
거,袪,11,木,소매,木
거,裾,14,木,자락,木
거,距,12,土,"떨어질, 클",木
거,遽,20,土,"급할, 두려울",木
거,踞,15,土,"웅크릴, 걸터앉을",木
거,去,5,水,"갈, 버릴",木
거,祛,10,木,"쫓을, 보낼",木
거,倨,10,火,"거만할, 멍할",木
거,腒,14,水,날짐승 포,木
거,車,7,火,"수레, 수레바퀴",木
거,擧,18,木,"들, 오를",木
거,巨,5,火,"클, 많을",木
거,鉅,13,金,"강할, 클",木
거,炬,9,火,"횃불, 태울",木
거,居,8,木,"살, 있을",木
거,拒,9,木,막을 방어할,木
거,據,17,木,"의지할, 증거",木
거,渠,13,水,"개천, 클",木
거,据,12,木,"일할, 의거할",木
거,鋸,16,金,"톱, 톱질할",木
거,駏,15,火,버새,木
거,呿,8,水,벌릴,木
건,虔,10,木,"정성, 공경할",木
건,健,11,火,"건강할, 튼튼할",木
건,建,9,木,"세울, 일으킬",木
건,䢖,13,土,세울,木
건,乾,11,金,"姓,하늘, 마를",木
건,漧,15,水,"하늘, 마를",木
건,件,6,火,"사건,구별할",木
건,巾,3,木,"수건, 덮을",木
건,楗,13,木,"문빗장, 방죽",木
건,鍵,17,金,"열쇠, 빗장",木
건,搴,14,木,"빼낼, 올릴",木
건,湕,13,水,물 이름,木
건,踺,16,土,밟을,木
건,愆,12,火,"허물, 과실",木
건,腱,15,水,힘줄,木
건,騫,20,火,"이지러질, 손상할",木
건,蹇,17,土,"절, 멈출",木
건,揵,13,木,멜,木
건,犍,13,土,"불친소,거세한소",木
건,睷,14,木,눈으로 셀,木
건,褰,16,木,걷어올릴,木
건,謇,17,金,떠듬거릴,木
건,鞬,18,金,동개,木
걸,杰,8,火,"뛰어날, 클",木
걸,桀,10,木,"홰, 뛰어날",木
걸,乞,3,木,"빌, 구할",木
걸,乬,6,木,걸,木
걸,朅,14,火,갈,木
걸,榤,14,木,홰,木
걸,傑,12,火,"뛰어날, 클",木
검,儉,15,火,"검소할, 적을",木
검,檢,17,木,"검사할, 교정할",木
검,劍,15,金,"칼, 찌를",木
검,劒,16,金,"칼, 찌를",木
검,瞼,18,木,눈꺼풀,木
검,鈐,12,金,비녀장,木
검,黔,16,水,"검을,그을릴",木
검,撿,17,木,검사할,木
검,芡,10,木,가시연,木
겁,怯,9,火,"겁낼, 무서워할",木
겁,迲,14,土,갈,木
겁,劫,7,水,"위협할, 빼앗을",木
겁,刦,7,金,겁탈할,木
겁,刧,7,金,겁탈할,木
게,憩,16,火,"쉴, 휴식할",木
게,揭,13,木,"높이들, 올릴",木
게,偈,11,火,"쉴, 굳센모양",木
격,格,10,木,"격식, 바로잡을",木
격,闃,17,木,고요할,木
격,激,17,水,"과격할, 흐를",木
격,隔,18,土,"막을, 멀",木
격,檄,17,木,"격문, 편지",木
격,膈,16,水,"흉격, 종틀",木
격,覡,14,火,"박수, 남자무당",木
격,挌,10,木,칠,木
격,毄,14,金,부딪칠,木
격,骼,16,金,뼈,木
격,鬲,10,土,막을,木
격,鴃,15,火,때까치,木
격,擊,17,木,"부딪칠, 방해될",木
견,牽,11,土,"당길, 거느릴",木
견,鵑,18,火,"두견새, 접동새",木
견,畎,9,土,밭도랑,木
견,筧,13,木,대 홈통,木
견,縳,17,木, 명주,木
견,繾,20,木,곡진할,木
견,羂,19,木,올무,木
견,鰹,22,水,가물치,木
견,犬,4,土,개,木
견,譴,21,金,"꾸짖을, 허물",木
견,肩,10,水,"어깨, 견딜",木
견,狷,12,土,성급할,木
견,堅,11,土,"姓,굳을,튼튼할",木
견,蠲,23,水,밝을,木
견,甄,14,土,"질그릇, 가마",木
견,見,7,火,"볼, 보일",木
견,絹,13,木,"비단, 명주",木
견,遣,17,土,"보낼, 파견할",木
결,結,12,木,"맺을, 마칠",木
결,決,8,水,"결단할, 터질",木
결,潔,16,水,"깨끗할, 바를",木
결,焆,11,火,불빛,木
결,迼,13,土,뛸,木
결,玦,9,金,패옥,木
결,鍥,17,金,새길,木
결,㛃,9,土,"맺을,맑을",木
결,闋,17,木,문닫을,木
결,缺,10,土,"이지러질, 모자랄",木
결,訣,11,金,"이별할, 작별할",木
결,抉,8,木,"도려낼, 폭로할",木
결,觖,11,木,서운해 할,木
겸,兼,10,金,"겸할, 쌓을",木
겸,謙,17,金,"겸손할, 공손할",木
겸,嗛,13,水,겸손할,木
겸,岒,7,土,산이 작고 높을,木
겸,嵰,13,土,산높을,木
겸,縑,16,木,합사 비단,木
겸,蒹,16,木,갈대,木
겸,黚,17,水,얕은 금향빛,木
겸,槏,14,木,"창틀, 기둥",木
겸,鎌,18,金,"낫, 모서리",木
겸,傔,12,火,시중들,木
겸,拑,9,木,입다물,木
겸,歉,14,火,흉년 들,木
겸,鼸,23,木,두더지,木
겸,慊,14,火,흐뭇하지 않을,木
겸,箝,14,木,"끼울, 재갈먹일",木
겸,鉗,13,金,칼,木
경,京,8,土,"서울, 클",木
경,景,12,火,"姓,볕,경치",木
경,經,13,木,"경서, 경영할",木
경,敬,13,金,"姓,공경할,훈계할",木
경,慶,15,火,"姓,경사,착할",木
경,檠,17,木,"도지개, 등경걸이",木
경,磬,16,金,"경쇠, 다할",木
경,境,14,土,"지경, 장소",木
경,竟,11,金,"다할, 마칠",木
경,徑,10,火,"지름길, 곧을",木
경,㯳,17,木,도지개,木
경,痙,12,水,힘줄 당길,木
경,卿,12,木,"姓,벼슬",木
경,硬,12,金,"굳을, 단단할",木
경,倞,10,火,"굳셀, 다툴",木
경,俓,9,火,"지름길, 곧을",木
경,坰,8,土,"들, 땅이름",木
경,耿,10,火,"빛날, 비출",木
경,炅,8,火,"姓,빛날,깨끗할",木
경,炯,11,火,"빛날, 밝을",木
경,暻,16,火,경치,木
경,鶊,19,火,꾀꼬리,木
경,梗,11,木,"대강, 가시나무",木
경,憬,16,火,"깨달을,그리워할",木
경,絅,11,木,끌어죌,木
경,瓊,20,金,"옥, 주사위",木
경,擎,17,木,"높이들, 높을",木
경,輕,14,火,"가벼울, 모자랄",木
경,鏡,19,金,"거울, 비출",木
경,畊,9,土,밭갈,木
경,綆,13,木,두레박줄,木
경,褧,16,木,홑옷,木
경,顈,17,木,홑옷,木
경,駉,15,火,살질,木
경,鯁,18,水,생선 뼈,木
경,黥,20,水,자잘할,木
경,脛,13,水,정강이,木
경,頸,16,火,목줄기,木
경,儆,15,火,"경계할, 위급할",木
경,逕,14,土,"좁은길, 지름길",木
경,警,20,金,"경계할, 방어할",木
경,驚,23,火,"놀랄, 두려울",木
경,璟,17,金,옥빛,木
경,涇,9,水,찰,木
경,璥,18,金,경옥,木
경,涇,11,水,"통할, 흐름",木
경,熲,15,火,"빛날, 불빛",木
경,勍,10,金,"셀, 강할",木
경,冂,2,火,멀,木
경,冏,7,火,"빛날, 밝을",木
경,囧,7,水,"빛날, 밝을",木
경,莖,13,木,"줄기, 근본",木
경,勁,9,金,"힘, 굳셀",木
경,憼,17,火,"공경할, 갖출",木
경,巠,7,水,지하수,木
경,曔,17,火,밝을,木
경,燛,16,火,밝을,木
경,亰,9,土,서울,木
경,庚,8,金,"姓,일곱째천간,나이",木
경,耕,10,土,"밭갈, 평평하게 할",木
경,頃,11,火,"밭이랑, 요사이",木
경,鲸,19,水,"고래, 쳐들",木
경,更,7,火,"고칠, 개선할",木
경,傾,13,火,"기울, 누울",木
경,競,20,金,"겨룰, 나아갈",木
경,剄,9,金,목벨,木
경,哽,10,水,목멜,木
경,惸,13,火,근심할,木
경,扃,9,木,문빗장,木
경,焭,12,火,근심할,木
경,煢,13,火,외로울,木
경,竸,22,金,다툴,木
경,罄,17,土,"빌,공허할",木
경,謦,18,金,기침,木
계,階,17,土,"섬돌, 계단",木
계,烓,10,火,"화덕, 밝을",木
계,繼,20,木,"이을, 계통",木
계,契,9,木,"맺을, 약속",木
계,堺,12,土,경계,木
계,屆,8,木,"이를, 다다를",木
계,稽,15,木,"머무를, 쌓을",木
계,谿,17,水,시내,木
계,磎,15,金,시내,木
계,堦,12,土,섬돌,木
계,瘈,14,水,미칠,木
계,禊,14,木,계제사,木
계,綮,14,木,발 고운 비단,木
계,縘,16,木,맬,木
계,罽,17,木,물고기 그물,木
계,薊,19,木,삽주,木
계,髻,16,火,상투,木
계,悸,12,火,두근거릴,木
계,棨,12,木,창,木
계,戒,7,金,"경계할, 삼가다",木
계,械,11,木,"형틀, 기구",木
계,癸,9,水,"열째 천간, 헤아릴",木
계,季,8,水,"姓,끝,막내",木
계,界,9,土,"지경, 경계",木
계,計,9,金,"셈할, 계획",木
계,溪,14,水,"시내, 산골짜기",木
계,鷄,21,火,"닭, 가금",木
계,系,7,木,"이을, 실마리",木
계,係,9,火,"걸릴, 이을",木
계,桂,10,木,월계수,木
계,啓,11,水,"가르칠, 인도할",木
계,誡,14,金,"경계할, 훈계할",木
계,繫,19,木,"맬, 죄수",木
고,姑,8,土,"시어머니, 아직",木
고,庫,10,木,"곳집, 창고",木
고,稿,15,木,"볏짚, 원고",木
고,顧,21,火,"姓,돌아볼,관찰할",木
고,叩,5,水," 두드릴, 물어볼",木
고,敲,14,金,"두드릴, 회초리",木
고,皐,11,水,"고할, 언덕",木
고,暠,14,火,"흴, 밝을",木
고,鼓,13,金,"북, 두드릴",木
고,雇,12,火,"품살, 새이름",木
고,估,7,火,값,木
고,凅,10,水,얼,木
고,刳,8,金,가를,木
고,栲,10,木,북나무,木
고,櫜,19,木,활집,木
고,牯,9,土,암소,木
고,盬,18,土,염지,木
고,鷱,23,火,작은 비둘기,木
고,槀,12,木,볏짚,木
고,箍,14,木,테,木
고,篙,16,木,상앗대,木
고,袴,12,木,"바지, 사타구니",木
고,辜,12,金,허물,木
고,錮,16,金,"땜질할, 가둘",木
고,瞽,18,木,소경,木
고,羖,10,土,검은 암양,木
고,固,8,水,"굳을, 단단할",木
고,高,10,火,"姓,높을",木
고,告,7,水,"알릴, 고할",木
고,杲,8,木,"밝을, 높을",木
고,皋,10,金,"고할, 언덕",木
고,睾,14,木,"못, 늪",木
고,沽,9,水,"팔, 매매할",木
고,膏,14,水,"살찔, 기름진 땅",木
고,苽,11,木,"줄, 진고",木
고,菰,14,木,"향초, 옥이름",木
고,誥,14,金,고할,木
고,賈,13,金,장사,木
고,羔,10,土,"새끼양, 흑양",木
고,古,5,水,"옛, 오랠",木
고,故,9,金,"옛, 원래",木
고,苦,11,木,"쓸, 괴로울",木
고,考,8,土,"상고할, 밝힐",木
고,攷,6,土,상고할,木
고,枯,9,木,"마를, 수척할",木
고,糕,16,木,떡,木
고,罟,10,木,그물,木
고,翶,18,火,날,木
고,胯,12,水,사타구니,木
고,觚,12,木,술잔,木
고,詁,12,金,주낼,木
고,郜,14,土,나라이름,木
고,酤,12,金,계명주,木
고,鈷,13,金,다리미,木
고,靠,15,木,기댈,木
고,鴣,16,火,자고,木
고,槀,14,木,마를,木
고,藁,20,木,마를,木
고,槁,14,木,마를,木
고,痼,13,水,고질,木
고,呱,8,水,울,木
고,孤,8,水,"외로울, 고아",木
고,尻,5,水,"꽁무니, 자리잡을",木
고,拷,10,木,"칠, 빼앗을",木
고,股,10,水,넓적다리,木
고,蠱,23,水,"독, 벌레",木
곡,谷,7,水,"골짜기, 좁은 길",木
곡,曲,6,土,"굽다, 휘다",木
곡,穀,15,木,"곡식, 기를",木
곡,哭,10,水,"울, 노래할",木
곡,斛,11,火,"휘, 헤아릴",木
곡,鵠,18,火,"고니, 흴",木
곡,梏,11,木,"쇠고랑, 묶을",木
곡,嚳,20,水,고할,木
곡,槲,15,木,떡갈나무,木
곡,穀,16,木,주름비단,木
곡,觳,17,木,뿔잔,木
곡,轂,17,火,바퀴통,木
곤,坤,8,土,"땅, 괘이름",木
곤,琨,13,金,"옥돌, 패옥",木
곤,昆,8,火,"형, 맏",木
곤,崑,11,土,산이름,木
곤,錕,16,金,"구리, 붉은 쇠",木
곤,梱,11,木,"문지방, 두드릴",木
곤,滾,15,水,"흐를, 샘솟을",木
곤,袞,11,木,곤룡포,木
곤,衮,12,木,곤룡포,木
곤,鯤,19,水,"고니, 물고기 알",木
곤,堃,11,土,땅,木
곤,崐,11,土,산이름,木
곤,悃,11,火,정성,木
곤,捆,11,木,두드릴,木
곤,緄,14,木,띠,木
곤,裍,13,木,걷어 올릴,木
곤,褌,15,木,잠방이,木
곤,閫,15,木,문지방,木
곤,髡,12,火,머리 깎을,木
곤,鵾,19,火,댓닭,木
곤,鶤,20,火,봉황,木
곤,齫,22,金,이 솟아날,木
곤,困,7,水,"괴로울, 보족할",木
곤,棍,12,木,"몽둥이, 곤장",木
골,汨,8,水,"빠질, 잠길",木
골,滑,14,水,"미끄러울, (활)어지러울",木
골,搰,14,木,팔,木
골,榾,14,木,등걸,木
골,鶻,21,火,송골매,木
골,骨,10,金,"姓,뼈,강직할",木
공,工,3,火,"장인, 공교할",木
공,功,5,木,"姓,일,공로",木
공,共,6,金,"함께, 한가지",木
공,公,4,金,"姓,귀,공변될",木
공,孔,4,水,"姓,구멍",木
공,供,8,火,"이바지할, 공손할",木
공,恭,10,火,"공손할, 조심할",木
공,貢,10,金,"바칠, 천거할",木
공,珙,11,金,"큰옥, 옥이름",木
공,拱,10,木,"당길, 고할",木
공,蚣,10,水,지네,木
공,鞏,15,金,묶을,木
공,龔,22,土,"공손할, 받들",木
공,空,8,水,"姓,빌,없을",木
공,控,12,木,"고할, 아뢸",木
공,倥,10,火,어리석을,木
공,崆,11,土,산이름,木
공,栱,10,木,두공,木
공,箜,14,木,공후,木
공,蛩,12,水,메뚜기,木
공,蛬,12,水,귀뚜라미,木
공,贛,24,金,줄,木
공,跫,13,土,"발자국, 소리",木
공,釭,11,金,살촉,木
공,槓,14,木,지렛대,木
공,攻,7,金,"칠, 공격할",木
공,恐,10,火,"두려울, 협박할",木
곶,串,7,金,"곶, 익힐, 꿸",木
과,寡,14,木,"적을, 과부",木
과,菓,14,木,"과일, 과자",木
과,侉,8,火,자랑할,木
과,堝,12,土,도가니,木
과,夥,14,水,많을,木
과,夸,6,木,자랑할,木
과,稞,13,木,보리,木
과,窠,13,水,보금자리,木
과,裹,14,木,쌀,木
과,踝,15,土,복사뼈,木
과,銙,14,金,대구,木
과,騍,18,火,암말,木
과,猓,12,木,긴꼬리원숭이,木
과,蝌,15,水,올챙이,木
과,戈,4,金,"창, 전쟁",木
과,撾,17,木,칠,木
과,果,8,木,"과실, 이룰",木
과,課,15,金,"매길, 고시",木
과,科,9,木,"과정, 과거",木
과,跨,13,土,"타넘을, 건너갈",木
과,鍋,17,金,"냄비, 대통",木
과,顆,17,火,"낟알, 흙덩이",木
과,過,16,土,"지날, 초월할",木
과,瓜,5,木,"오이, 참외",木
과,誇,13,金,"자랑할, 자만할",木
곽,郭,15,土,"姓,성곽,둘레",木
곽,廓,14,木,"굴레, 클",木
곽,槨,15,木,"덧널, 궤",木
곽,藿,22,木,"姓,콩잎,쥐눈이콩",木
곽,椁,12,木,덧널,木
곽,癨,21,水,곽란,木
곽,霍,16,水,빠를,木
곽,鞹,20,金,무두질한 가죽,木
관,丱,5,木,쌍상투,木
관,爟,22,火,봉화,木
관,盥,16,水,대야,木
관,祼,13,木,강신제,木
관,窾,17,水,빌,木
관,筦,13,木,다스릴,木
관,綰,14,木,얽을,木
관,鑵,26,金,두레박,木
관,雚,18,火,황새,木
관,觀,27,火,광대뼈,木
관,髖,25,金,허리뼈,木
관,鸛,29,火,황새,木
관,館,17,水,"객사, 관청",木
관,舘,16,金,"객사, 관청",木
관,涫,12,水,"끓을, 대야",木
관,棺,12,木,"널, 입관할",木
관,官,8,木,"벼슬, 관청",木
관,觀,25,火,"볼, 드러낼",木
관,管,14,木,"주관할, 피리",木
관,冠,9,木,"姓,갓,볏",木
관,寬,15,木,"너그러울, 넓을",木
관,款,12,金,"정성, 사랑",木
관,琯,13,金,"옥피리, 옥돌",木
관,菅,14,木,"난초, 등골나무",木
관,串,7,金,"익힐, 꿸",木
관,罐,24,土,두레박,木
관,貫,11,金,"꿰뚫을, 적중할",木
관,慣,15,火,"버릇, 익숙할",木
관,灌,22,水,"물댈, 따름",木
관,瓘,23,金,옥이름,木
관,梡,11,木,"도마, 장작",木
관,關,19,木,"姓,빗장,잠글",木
관,錧,16,金,"쟁기, 비녀장",木
관,輨,15,火,줏대,木
괄,括,10,木,"묶을, 단속할",木
괄,适,13,土,"빠를, 신속할",木
괄,刮,8,金,"깎을,갈",木
괄,恝,10,火,걱정 없을,木
괄,佸,8,火,이를,木
괄,栝,10,木,노송나무,木
괄,筈,12,木,오늬,木
괄,聒,12,火,떠들썩할,木
괄,髺,16,火,묶을,木
괄,鴰,17,火,재두루미,木
광,爌,19,火,불빛 환할,木
광,絖,12,木,고운 솜,木
광,纊,21,木,솜,木
광,茪,12,木,초결명,木
광,狂,8,土,미칠,木
광,胱,12,水,방광,木
광,恇,10,火,겁낼,木
광,獷,19,土,사나울,木
광,誆,13,金,속일,木
광,光,6,火,"姓,빛날,경치",木
광,炚,8,火,빛날,木
광,廣,15,木,"姓,넓을",木
광,広,5,木,넓을,木
광,鑛,23,金,"쇳돌, 광석",木
광,炛,8,火,빛날,木
광,侊,8,火,"클, 성할",木
광,洸,10,水,"姓,물솟을,성낼",木
광,珖,11,金,"옥피리, 옥이름",木
광,桄,10,木,광랑나무,木
광,匡,6,土,"바르다, 구제할",木
광,曠,19,火,"밝을, 황야",木
광,硄,11,金,돌소리,木
광,筐,12,木,광주리,木
광,壙,18,土,"들판, 공허할",木
광,框,10,木,문테,木
괘,掛,12,木,"걸, 걸어놓을",木
괘,卦,8,木,"걸, 매달",木
괘,罫,14,木,"줄, 거리낄",木
괘,挂,10,木,걸,木
괘,罣,12,木,걸,木
괘,詿,13,金,그르칠,木
괘,咼,9,水,입 비뚤어질,木
괴,傀,12,火,"클, 좋을",木
괴,魁,14,火,"으뜸, 우두머리",木
괴,槐,14,木,홰나무,木
괴,塊,13,土,흙덩어리,木
괴,愧,14,火,"부끄러워할, 탓할",木
괴,媿,13,土,부끄러움,木
괴,廥,16,木,여물광,木
괴,瑰,15,金,구슬 이름,木
괴,璝,17,金,구슬 이름,木
괴,蒯,16,木,황모,木
괴,襘,19,木,띠매듭,木
괴,怪,9,火,"기이할, 도깨비",木
괴,壞,19,土,무너질,木
괴,拐,9,木,"속일, 꾀일",木
괴,乖,8,火,어그러질,木
괵,馘,17,水,귀 벨,木
굉,宏,7,木,"클, 광대할",木
굉,紘,10,木,"갓끈, 밧줄",木
굉,肱,10,水,팔뚝,木
